category,situation,prompt,response_a,response_b,human_choice
Empathy,Health scare,My old friend just got concerning medical news.,Immediately research solutions and send them information.,Ask how they're feeling about it and what kind of support they want.,1
Assertiveness,Overloaded schedule,My study partner keeps adding to my workload without checking capacity.,State clearly what's already on your plate and ask them to help prioritize.,Take on everything without comment and try to work faster.,0
Assertiveness,Unwanted plans,My new employee keeps suggesting plans I don't actually want to do.,Keep agreeing and cancel at the last minute instead.,Say honestly that this activity isn't for you and suggest an alternative.,1
Teamwork,Disagreeing on direction,My manager and I can't agree on which idea to move forward with.,Suggest listing pros and cons together so the decision feels shared.,Go with whichever idea the more vocal person prefers.,0
Conflict Resolution,Noise issue,My team lead is being loud in a way that's affecting me.,Explain the specific issue calmly and propose a compromise.,Escalate to someone in charge before talking to them directly.,0
Handling Criticism,Written feedback,My old friend left written feedback that's hard to interpret in tone.,Ask a quick clarifying question rather than assuming the worst tone.,Assume the harshest possible tone and respond defensively.,0
Workplace Communication,Difficult email,I need to email my teammate about a mistake that affected me.,Cc other people right away so the issue is taken seriously.,State the issue factually and propose next steps.,1
Setting Boundaries,Financial boundary,My mentor asks to borrow money more often than feels comfortable.,Lend it each time to avoid an uncomfortable conversation.,Set a clear limit and explain it kindly.,1
Starting Conversations,Event mingling,I'm at an event where my old friend is and I want to start a conversation.,"Comment on something shared in the moment, like the event itself.",Stand near them and wait until they start talking to you.,0
Making Friends,Mutual friend,"I want to become friends with my classmate, who I met through someone else.",Wait until the mutual friend brings you together again.,Reach out directly instead of relying on the mutual friend to connect you.,1
Conflict Resolution,After an argument,I had an argument with my manager and we haven't spoken since.,Reach out and acknowledge the disagreement directly.,Wait for them to reach out first since they were more upset.,0
Starting Conversations,First meeting,I'm about to meet my close friend for the first time and I'm nervous about the opener.,Prepare a detailed introduction covering your background so nothing is left out.,"Prepare one simple, genuine question rather than a rehearsed line.",1
Starting Conversations,Party small talk,I don't know what to say to my team lead at a party.,Talk mainly about your own week so they get to know you.,Ask what brought them there and follow their lead from there.,1
Setting Boundaries,Social media boundary,My mentor tags or posts about me in ways I'm not comfortable with.,Untag yourself quietly each time without saying anything.,Ask them directly to check with you before posting about you.,1
Nonverbal Communication,Group photo moment,I want to seem approachable to my manager in a group setting.,Stand slightly apart so you don't seem like you're intruding.,Keep an open stance and make brief eye contact with people as they talk.,1
Assertiveness,Uncomfortable joke,My team lead makes a joke at my expense that bothers me.,"Let them know directly, without making it a bigger issue than needed.",Laugh along so it doesn't seem like a big deal.,0
